symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pips,exit_reason
XAUUSD,LONG,2025-03-11 14:45:00.526000+07:00,2025-03-11 14:46:29.637000+07:00,2899.995,2900.585,0.5900000000001455,5.900000000001455,trailing_stop
XAUUSD,LONG,2025-03-11 14:45:00.224000+07:00,2025-03-11 14:46:33.927000+07:00,2899.985,2900.445,0.4600000000000364,4.600000000000364,trailing_stop
XAUUSD,LONG,2025-03-11 14:46:29.637000+07:00,2025-03-11 14:48:00.121000+07:00,2901.045,2900.945,-0.09999999999990905,-0.9999999999990905,trailing_stop
XAUUSD,LONG,2025-03-11 15:00:00.093000+07:00,2025-03-11 15:06:29.434000+07:00,2901.455,2901.718,0.26299999999991996,2.6299999999991996,trailing_stop
XAUUSD,LONG,2025-03-11 15:00:00.145000+07:00,2025-03-11 15:06:29.434000+07:00,2901.455,2901.718,0.26299999999991996,2.6299999999991996,trailing_stop
XAUUSD,LONG,2025-03-11 15:15:01.089000+07:00,2025-03-11 15:17:42.843000+07:00,2904.575,2905.095,0.5199999999999818,5.199999999999818,trailing_stop
XAUUSD,LONG,2025-03-11 15:15:01.190000+07:00,2025-03-11 15:17:42.843000+07:00,2904.575,2905.095,0.5199999999999818,5.199999999999818,trailing_stop
XAUUSD,LONG,2025-03-11 15:30:00.096000+07:00,2025-03-11 15:43:25.847000+07:00,2907.635,2908.275,0.6399999999998727,6.399999999998727,trailing_stop
XAUUSD,LONG,2025-03-11 15:30:00.197000+07:00,2025-03-11 15:43:25.847000+07:00,2907.635,2908.275,0.6399999999998727,6.399999999998727,trailing_stop
XAUUSD,LONG,2025-03-11 15:45:00.081000+07:00,2025-03-11 15:48:34.514000+07:00,2909.425,2907.535,-1.8900000000003274,-18.900000000003274,trailing_stop
XAUUSD,LONG,2025-03-11 15:45:00.484000+07:00,2025-03-11 15:48:34.514000+07:00,2909.425,2907.535,-1.8900000000003274,-18.900000000003274,trailing_stop
XAUUSD,LONG,2025-03-11 16:00:00.653000+07:00,2025-03-11 16:07:21.698000+07:00,2910.305,2910.875,0.5700000000001637,5.700000000001637,trailing_stop
XAUUSD,LONG,2025-03-11 16:00:00.295000+07:00,2025-03-11 16:07:27.001000+07:00,2910.315,2910.735,0.42000000000007276,4.200000000000728,trailing_stop
XAUUSD,LONG,2025-03-11 16:15:00.020000+07:00,2025-03-11 16:30:05.488000+07:00,2910.455,2910.855,0.40000000000009095,4.0000000000009095,trailing_stop
XAUUSD,LONG,2025-03-11 16:07:21.698000+07:00,2025-03-11 16:46:11.759000+07:00,2911.235,2911.785,0.5499999999997272,5.4999999999972715,trailing_stop
XAUUSD,LONG,2025-03-11 16:30:05.488000+07:00,2025-03-11 16:47:21.194000+07:00,2911.345,2911.595,0.25,2.5,trailing_stop
XAUUSD,LONG,2025-03-11 16:47:21.194000+07:00,2025-03-11 17:03:35.693000+07:00,2912.025,2912.165,0.13999999999987267,1.3999999999987267,trailing_stop
XAUUSD,LONG,2025-03-11 17:03:35.693000+07:00,2025-03-11 17:26:15.055000+07:00,2912.605,2913.245,0.6399999999998727,6.399999999998727,trailing_stop
XAUUSD,LONG,2025-03-11 16:46:11.759000+07:00,2025-03-11 17:26:22.305000+07:00,2912.265,2913.215,0.9500000000002728,9.500000000002728,trailing_stop
XAUUSD,LONG,2025-03-11 17:26:15.055000+07:00,2025-03-11 17:45:03.131000+07:00,2913.725,2914.245,0.5199999999999818,5.199999999999818,trailing_stop
XAUUSD,LONG,2025-03-11 17:26:22.305000+07:00,2025-03-11 17:45:22.712000+07:00,2913.685,2914.025,0.3400000000001455,3.400000000001455,trailing_stop
XAUUSD,LONG,2025-03-11 17:45:22.712000+07:00,2025-03-11 18:34:30.778000+07:00,2914.485,2914.245,-0.24000000000023647,-2.4000000000023647,trailing_stop
XAUUSD,LONG,2025-03-11 18:34:30.778000+07:00,2025-03-11 18:46:37.494000+07:00,2914.595,2914.965,0.3700000000003456,3.700000000003456,trailing_stop
XAUUSD,LONG,2025-03-11 17:45:03.131000+07:00,2025-03-11 19:15:06.811000+07:00,2914.635,2912.205,-2.430000000000291,-24.30000000000291,trailing_stop
XAUUSD,LONG,2025-03-11 18:46:37.494000+07:00,2025-03-11 19:19:15.987000+07:00,2915.461,2910.445,-5.015999999999622,-50.15999999999622,trailing_stop
XAUUSD,LONG,2025-03-11 19:19:15.987000+07:00,2025-03-11 19:22:28.917000+07:00,2910.931,2911.445,0.5140000000001237,5.140000000001237,trailing_stop
XAUUSD,LONG,2025-03-11 19:22:28.917000+07:00,2025-03-11 19:27:56.036000+07:00,2911.905,2912.548,0.6429999999995744,6.429999999995744,trailing_stop
XAUUSD,LONG,2025-03-11 19:27:56.036000+07:00,2025-03-11 19:28:53.568000+07:00,2913.045,2913.405,0.36000000000012733,3.6000000000012733,trailing_stop
XAUUSD,LONG,2025-03-11 19:15:06.811000+07:00,2025-03-11 19:29:34.049000+07:00,2912.705,2913.395,0.6900000000000546,6.900000000000546,trailing_stop
XAUUSD,LONG,2025-03-11 19:30:00.056000+07:00,2025-03-11 19:32:56.979000+07:00,2913.155,2913.885,0.7300000000000182,7.300000000000182,trailing_stop
XAUUSD,LONG,2025-03-11 19:28:53.568000+07:00,2025-03-11 19:40:12.624000+07:00,2913.845,2914.275,0.43000000000029104,4.30000000000291,trailing_stop
XAUUSD,LONG,2025-03-11 19:45:00.231000+07:00,2025-03-11 20:02:45.375000+07:00,2915.885,2910.885,-5.0,-50.0,trailing_stop
XAUUSD,LONG,2025-03-11 19:45:00.180000+07:00,2025-03-11 20:02:47.219000+07:00,2915.875,2910.875,-5.0,-50.0,trailing_stop
XAUUSD,LONG,2025-03-11 20:02:45.375000+07:00,2025-03-11 20:25:19.302000+07:00,2911.355,2911.845,0.4899999999997817,4.899999999997817,trailing_stop
XAUUSD,LONG,2025-03-11 20:02:47.219000+07:00,2025-03-11 20:25:19.302000+07:00,2911.355,2911.845,0.4899999999997817,4.899999999997817,trailing_stop
XAUUSD,LONG,2025-03-11 20:25:19.302000+07:00,2025-03-11 20:33:54.104000+07:00,2912.305,2912.725,0.42000000000007276,4.200000000000728,trailing_stop
XAUUSD,LONG,2025-03-11 20:25:19.404000+07:00,2025-03-11 20:33:54.104000+07:00,2912.365,2912.725,0.36000000000012733,3.6000000000012733,trailing_stop
XAUUSD,LONG,2025-03-11 20:33:54.104000+07:00,2025-03-11 20:40:37.864000+07:00,2913.185,2917.148,3.963000000000193,39.63000000000193,trailing_stop
XAUUSD,LONG,2025-03-11 20:33:54.155000+07:00,2025-03-11 20:40:37.864000+07:00,2913.185,2917.148,3.963000000000193,39.63000000000193,trailing_stop
XAUUSD,SHORT,2025-03-13 14:00:00.001000+07:00,2025-03-13 14:06:32.696000+07:00,2936.705,2936.685,0.01999999999998181,0.1999999999998181,trailing_stop
XAUUSD,SHORT,2025-03-13 14:15:00.337000+07:00,2025-03-13 14:20:20.684000+07:00,2936.025,2935.605,0.42000000000007276,4.200000000000728,trailing_stop
XAUUSD,SHORT,2025-03-13 14:30:00.999000+07:00,2025-03-13 14:34:01.599000+07:00,2935.218,2935.305,-0.08699999999998909,-0.8699999999998909,trailing_stop
XAUUSD,LONG,2025-03-18 14:00:00.051000+07:00,2025-03-18 14:06:08.080000+07:00,3016.145,3016.548,0.40299999999979264,4.029999999997926,trailing_stop
XAUUSD,LONG,2025-03-18 14:15:00.081000+07:00,2025-03-18 15:07:03.771000+07:00,3018.591,3018.979,0.38799999999991996,3.8799999999991996,trailing_stop
XAUUSD,LONG,2025-03-18 15:07:03.771000+07:00,2025-03-18 15:17:22.887000+07:00,3019.475,3019.995,0.5199999999999818,5.199999999999818,trailing_stop
XAUUSD,LONG,2025-03-18 15:17:22.887000+07:00,2025-03-18 15:22:54.710000+07:00,3020.511,3021.225,0.7139999999999418,7.139999999999418,trailing_stop
XAUUSD,LONG,2025-03-18 15:30:00.028000+07:00,2025-03-18 15:33:18.492000+07:00,3024.722,3025.789,1.0670000000000073,10.670000000000073,trailing_stop
XAUUSD,LONG,2025-03-18 15:45:00.203000+07:00,2025-03-18 16:03:42.989000+07:00,3027.051,3027.945,0.8940000000002328,8.940000000002328,trailing_stop
XAUUSD,LONG,2025-03-18 19:00:00.063000+07:00,2025-03-18 19:00:30.845000+07:00,3027.125,3027.725,0.599999999999909,5.9999999999990905,trailing_stop
XAUUSD,LONG,2025-03-18 19:15:00.777000+07:00,2025-03-18 19:18:42.599000+07:00,3030.395,3030.705,0.30999999999994543,3.0999999999994543,trailing_stop
XAUUSD,LONG,2025-03-18 19:30:00.035000+07:00,2025-03-18 19:33:18.795000+07:00,3029.225,3029.698,0.47299999999995634,4.729999999999563,trailing_stop
XAUUSD,LONG,2025-03-18 19:45:00.569000+07:00,2025-03-18 19:46:49.691000+07:00,3033.962,3034.425,0.4630000000001928,4.630000000001928,trailing_stop
XAUUSD,LONG,2025-03-18 20:00:00.059000+07:00,2025-03-18 20:01:10.192000+07:00,3034.655,3035.465,0.8099999999999454,8.099999999999454,trailing_stop
XAUUSD,LONG,2025-03-18 20:15:00.089000+07:00,2025-03-18 20:19:17.256000+07:00,3035.215,3035.858,0.6430000000000291,6.430000000000291,trailing_stop
XAUUSD,LONG,2025-03-27 16:49:18.145000+07:00,2025-03-27 16:53:54.252000+07:00,3037.235,3038.005,0.7699999999999818,7.699999999999818,trailing_stop
XAUUSD,LONG,2025-03-27 16:53:54.252000+07:00,2025-03-27 16:56:35.090000+07:00,3038.502,3038.915,0.4130000000000109,4.130000000000109,trailing_stop
XAUUSD,LONG,2025-03-27 17:02:34.481000+07:00,2025-03-27 17:07:25.681000+07:00,3043.155,3043.875,0.7199999999997999,7.199999999997999,trailing_stop
XAUUSD,LONG,2025-03-27 17:07:25.681000+07:00,2025-03-27 17:07:45.242000+07:00,3044.452,3044.875,0.42299999999977445,4.2299999999977445,trailing_stop
XAUUSD,LONG,2025-03-27 17:07:45.242000+07:00,2025-03-27 17:12:02.724000+07:00,3045.452,3045.955,0.5029999999997017,5.029999999997017,trailing_stop
XAUUSD,LONG,2025-03-27 16:45:01.880000+07:00,2025-03-27 19:29:59.956000+07:00,3036.052,3049.868,13.815999999999804,138.15999999999804,wide_spread
